Items Report
"Sep 1, 2025 12:00 AM - Sep 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:00 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$45,893.62"
Net Sales,"$45,803.30"
COGS,"$12,186.33"
Gross Profit,"$32,870.59"
Gross Profit Margin,71.76%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Rasbhari Rasmalai),$4.49,$4.49,1,0," "," ",-,$0.00,$0.00,0.01%,$4.49,$2.50,$1.99
,Custom Item,$4.07,$4.07,1,0," "," ",-,$0.00,$0.00,0.01%,$4.07,-,-
,Strawberry Delight),$3.99,$3.99,1,0," "," ",-,$0.00,$0.00,0.01%,$3.99,$0.00,$3.99
,Plain Khari 200g,$2.99,$2.99,1,0," "," ",-,$0.00,$0.00,0.01%,$2.99,$0.00,$2.99
,Custom Item,$2.60,$2.60,1,0," "," ",-,$0.00,$0.00,0.01%,$2.60,-,-
,Choco Bite Muffin,$2.09,$2.09,1,0," "," ",-,$0.00,$0.00,0.00%,$2.09,$1.00,$1.09
,Maaza Mango,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.00%,$1.99,$0.00,$1.99
,Custom Item,$1.87,$1.87,1,0," "," ",-,$0.00,$0.00,0.00%,$1.87,-,-
,Custom Item,$1.75,$1.75,1,0," "," ",-,$0.00,$0.00,0.00%,$1.75,-,-
Total (Uncategorized),,"$2,033.08","$2,033.08",434,0,-," ",$0.00,$0.00,$0.00,4.44%,$4.68,"$1,306.58",$520.30

Breads
,Maska Bun,$252.00,$252.00,112,0," "," ",-,$0.00,$0.00,0.55%,$2.25,$0.00,$252.00
,Sandwich Bread 400g,$206.25,$206.25,75,0," "," ",-,$0.00,$0.00,0.45%,$2.75,$0.00,$206.25
,Vada Dabeli Pav,$149.50,$149.50,46,0," "," ",-,$0.00,$0.00,0.33%,$3.25,$0.00,$149.50
,Cream Roll Frosting,$137.31,$137.31,69,0," "," ",-,$0.00,$0.00,0.30%,$1.99,$0.00,$137.31
,"Soft White Pizza Bread 7""",$123.75,$123.75,45,0," "," ",-,$0.00,$0.00,0.27%,$2.75,$61.65,$62.10
,Kulcha Bread,$38.25,$38.25,17,0," "," ",-,$0.00,$0.00,0.08%,$2.25,$8.50,$29.75
,"Mini Pizza Bread 4""",$33.00,$33.00,12,0," "," ",-,$0.00,$0.00,0.07%,$2.75,$16.44,$16.56
,Milk & Fruit Bread,$27.50,$27.50,10,0," "," ",-,$0.00,$0.00,0.06%,$2.75,$13.70,$13.80
,Burger Bun,$11.25,$11.25,5,0," "," ",-,$0.00,$0.00,0.02%,$2.25,$0.00,$11.25
